Generation,MaxFitness,MinFitness,MeanFitness,StdvFitness,BestItem,BestValue,BestWeight,SolutionsChecked
142,1e-08,1e-08,1e-08,0.0,81.0,75710.20000000001,10743.0,28600
143,1e-08,1e-08,1e-08,0.0,76.0,70902.4,10240.4,28800
144,1e-08,1e-08,1e-08,0.0,73.0,69351.9,9800.0,29000
145,1e-08,1e-08,1e-08,0.0,78.0,71411.2,9727.8,29200
146,1e-08,1e-08,1e-08,0.0,76.0,72869.9,9255.4,29400
147,1e-08,1e-08,1e-08,0.0,66.0,61225.0,9002.8,29600
148,1e-08,1e-08,1e-08,0.0,84.0,80513.2,11305.4,29800
149,1e-08,1e-08,1e-08,0.0,76.0,69774.5,9938.4,30000
150,1e-08,1e-08,1e-08,0.0,86.0,83409.2,11638.5,30200
151,1e-08,1e-08,1e-08,0.0,88.0,85261.0,11578.900000000001,30400
152,1e-08,1e-08,1e-08,0.0,66.0,62000.5,8781.4,30600
153,1e-08,1e-08,1e-08,0.0,86.0,81678.20000000001,11666.3,30800
154,1e-08,1e-08,1e-08,0.0,75.0,69712.1,10561.099999999999,31000
155,1e-08,1e-08,1e-08,0.0,79.0,77316.2,9949.3,31200
156,1e-08,1e-08,1e-08,0.0,74.0,68743.5,9661.8,31400
157,1e-08,1e-08,1e-08,0.0,80.0,80032.7,10607.7,31600
158,1e-08,1e-08,1e-08,0.0,73.0,70982.70000000001,9367.2,31800
159,1e-08,1e-08,1e-08,0.0,75.0,72983.4,9917.400000000001,32000
160,1e-08,1e-08,1e-08,0.0,67.0,65697.2,8975.900000000001,32200
161,1e-08,1e-08,1e-08,0.0,69.0,67573.9,8643.0,32400
162,1e-08,1e-08,1e-08,0.0,73.0,69203.79999999999,10138.400000000001,32600
163,1e-08,1e-08,1e-08,0.0,68.0,65146.7,9478.8,32800
164,1e-08,1e-08,1e-08,0.0,82.0,74556.29999999999,10580.0,33000
165,1e-08,1e-08,1e-08,0.0,77.0,73637.6,9934.400000000001,33200
166,1e-08,1e-08,1e-08,0.0,85.0,81045.6,10467.3,33400
167,1e-08,1e-08,1e-08,0.0,74.0,72131.5,9849.5,33600
168,1e-08,1e-08,1e-08,0.0,70.0,62826.6,9376.8,33800
169,1e-08,1e-08,1e-08,0.0,61.0,56161.2,8844.4,34000
170,1e-08,1e-08,1e-08,0.0,80.0,75867.7,10791.699999999999,34200
171,1e-08,1e-08,1e-08,0.0,80.0,71878.5,10667.7,34400
172,1e-08,1e-08,1e-08,0.0,81.0,79646.1,11159.0,34600
173,1e-08,1e-08,1e-08,0.0,70.0,68645.8,9872.3,34800
174,1e-08,1e-08,1e-08,0.0,76.0,66855.6,9551.2,35000
175,1e-08,1e-08,1e-08,0.0,58.0,56390.8,7231.7,35200
176,1e-08,1e-08,1e-08,0.0,75.0,71008.00000000001,9371.400000000001,35400
177,1e-08,1e-08,1e-08,0.0,80.0,74708.5,10703.399999999998,35600
178,1e-08,1e-08,1e-08,0.0,87.0,79543.8,11313.0,35800
179,1e-08,1e-08,1e-08,0.0,78.0,70767.5,9928.4,36000
180,1e-08,1e-08,1e-08,0.0,78.0,74235.40000000001,10716.4,36200
181,1e-08,1e-08,1e-08,0.0,67.0,63060.200000000004,9270.099999999999,36400
182,1e-08,1e-08,1e-08,0.0,84.0,77181.20000000001,10413.3,36600
183,1e-08,1e-08,1e-08,0.0,76.0,73210.20000000001,9732.4,36800
184,1e-08,1e-08,1e-08,0.0,80.0,77211.20000000001,10429.7,37000
185,1e-08,1e-08,1e-08,0.0,68.0,68730.4,8850.6,37200
186,1e-08,1e-08,1e-08,0.0,73.0,67158.0,9069.3,37400
187,1e-08,1e-08,1e-08,0.0,71.0,68494.3,9160.6,37600
188,1e-08,1e-08,1e-08,0.0,81.0,76560.1,10424.2,37800
189,1e-08,1e-08,1e-08,0.0,74.0,71251.20000000001,9820.1,38000
190,1e-08,1e-08,1e-08,0.0,62.0,53949.0,7512.0,38200
191,1e-08,1e-08,1e-08,0.0,81.0,77770.40000000001,10474.4,38400
192,1e-08,1e-08,1e-08,0.0,77.0,67811.40000000001,10420.699999999999,38600
193,1e-08,1e-08,1e-08,0.0,76.0,70436.1,10216.0,38800
194,1e-08,1e-08,1e-08,0.0,82.0,79961.29999999999,11178.3,39000
195,1e-08,1e-08,1e-08,0.0,84.0,77726.0,11243.7,39200
196,1e-08,1e-08,1e-08,0.0,76.0,76375.9,10235.400000000001,39400
197,1e-08,1e-08,1e-08,0.0,71.0,68230.79999999999,9403.7,39600
198,1e-08,1e-08,1e-08,0.0,77.0,76741.6,9629.9,39800
199,1e-08,1e-08,1e-08,0.0,73.0,70278.1,9797.5,40000
200,1e-08,1e-08,1e-08,0.0,85.0,78133.4,10943.7,40200
201,1e-08,1e-08,1e-08,0.0,79.0,73523.0,10257.8,40400
202,1e-08,1e-08,1e-08,0.0,78.0,77966.2,9580.2,40600
203,1e-08,1e-08,1e-08,0.0,80.0,74844.4,9538.6,40800
204,1e-08,1e-08,1e-08,0.0,67.0,65424.50000000001,9111.9,41000
205,1e-08,1e-08,1e-08,0.0,78.0,72518.1,10076.8,41200
206,1e-08,1e-08,1e-08,0.0,77.0,70845.79999999999,10026.8,41400
207,1e-08,1e-08,1e-08,0.0,71.0,69727.3,9509.5,41600
208,1e-08,1e-08,1e-08,0.0,75.0,68285.29999999999,9356.099999999999,41800
209,1e-08,1e-08,1e-08,0.0,76.0,70481.7,9253.099999999999,42000
210,1e-08,1e-08,1e-08,0.0,73.0,69393.4,9159.599999999999,42200
211,1e-08,1e-08,1e-08,0.0,76.0,72825.4,9944.9,42400
212,1e-08,1e-08,1e-08,0.0,77.0,73729.8,10628.8,42600
213,1e-08,1e-08,1e-08,0.0,81.0,72769.6,11072.900000000001,42800
214,1e-08,1e-08,1e-08,0.0,75.0,71932.7,9713.400000000001,43000
215,1e-08,1e-08,1e-08,0.0,73.0,69978.5,9348.5,43200
216,1e-08,1e-08,1e-08,0.0,75.0,68431.0,9797.3,43400
217,1e-08,1e-08,1e-08,0.0,72.0,68318.7,9131.2,43600
218,1e-08,1e-08,1e-08,0.0,73.0,69285.7,8560.0,43800
219,1e-08,1e-08,1e-08,0.0,81.0,78607.1,11161.900000000001,44000
220,1e-08,1e-08,1e-08,0.0,74.0,71068.79999999999,9338.699999999999,44200
221,1e-08,1e-08,1e-08,0.0,77.0,71993.4,10076.5,44400
222,1e-08,1e-08,1e-08,0.0,65.0,59304.399999999994,8268.3,44600
223,1e-08,1e-08,1e-08,0.0,67.0,66657.1,9076.1,44800
224,1e-08,1e-08,1e-08,0.0,78.0,70651.7,10289.3,45000
225,1e-08,1e-08,1e-08,0.0,77.0,69397.7,10404.3,45200
226,1e-08,1e-08,1e-08,0.0,61.0,59266.8,7602.9,45400
227,1e-08,1e-08,1e-08,0.0,80.0,77494.1,10609.099999999999,45600
228,1e-08,1e-08,1e-08,0.0,78.0,74579.3,10317.4,45800
229,1e-08,1e-08,1e-08,0.0,74.0,68897.79999999999,10031.3,46000
230,1e-08,1e-08,1e-08,0.0,66.0,63149.4,8762.6,46200
231,1e-08,1e-08,1e-08,0.0,80.0,74635.40000000001,10326.5,46400
232,1e-08,1e-08,1e-08,0.0,77.0,74251.8,10621.5,46600
233,1e-08,1e-08,1e-08,0.0,76.0,72342.2,10261.099999999999,46800
234,1e-08,1e-08,1e-08,0.0,69.0,68710.0,8960.5,47000
235,1e-08,1e-08,1e-08,0.0,69.0,67671.5,9522.6,47200
236,1e-08,1e-08,1e-08,0.0,86.0,83488.29999999999,11264.8,47400
237,1e-08,1e-08,1e-08,0.0,82.0,82484.1,11438.0,47600
238,1e-08,1e-08,1e-08,0.0,65.0,62808.700000000004,7690.0,47800
239,1e-08,1e-08,1e-08,0.0,85.0,82977.1,11232.099999999999,48000
240,1e-08,1e-08,1e-08,0.0,79.0,72442.5,9521.5,48200
241,1e-08,1e-08,1e-08,0.0,79.0,76465.20000000001,10039.400000000001,48400
242,1e-08,1e-08,1e-08,0.0,77.0,74735.8,9779.099999999999,48600
243,1e-08,1e-08,1e-08,0.0,78.0,75898.70000000001,10813.6,48800
244,1e-08,1e-08,1e-08,0.0,73.0,70504.4,10033.400000000001,49000
245,1e-08,1e-08,1e-08,0.0,72.0,72346.20000000001,10158.4,49200
246,1e-08,1e-08,1e-08,0.0,64.0,60243.0,8031.5,49400
247,1e-08,1e-08,1e-08,0.0,72.0,68967.79999999999,8943.099999999999,49600
248,1e-08,1e-08,1e-08,0.0,82.0,81711.3,11107.499999999998,49800
249,1e-08,1e-08,1e-08,0.0,75.0,70899.8,10091.3,50000
250,1e-08,1e-08,1e-08,0.0,68.0,63564.200000000004,8551.2,50200
251,1e-08,1e-08,1e-08,0.0,64.0,61487.5,8934.4,50400
252,1e-08,1e-08,1e-08,0.0,71.0,69281.70000000001,9270.7,50600
253,1e-08,1e-08,1e-08,0.0,68.0,62858.200000000004,8271.8,50800
254,1e-08,1e-08,1e-08,0.0,79.0,77795.2,10490.5,51000
255,1e-08,1e-08,1e-08,0.0,78.0,75121.70000000001,10118.599999999999,51200
256,1e-08,1e-08,1e-08,0.0,62.0,57096.899999999994,8973.300000000001,51400
257,1e-08,1e-08,1e-08,0.0,75.0,69148.6,9947.6,51600
258,1e-08,1e-08,1e-08,0.0,75.0,68382.1,9968.900000000001,51800
259,1e-08,1e-08,1e-08,0.0,76.0,77327.1,10526.199999999999,52000
260,1e-08,1e-08,1e-08,0.0,65.0,61025.299999999996,8329.2,52200
261,1e-08,1e-08,1e-08,0.0,72.0,64574.700000000004,9525.4,52400
262,1e-08,1e-08,1e-08,0.0,69.0,60884.99999999999,9211.7,52600
263,1e-08,1e-08,1e-08,0.0,80.0,77004.6,10191.4,52800
264,1e-08,1e-08,1e-08,0.0,75.0,71932.8,9642.0,53000
265,1e-08,1e-08,1e-08,0.0,74.0,70214.29999999999,10510.3,53200
266,1e-08,1e-08,1e-08,0.0,78.0,70224.4,10687.199999999999,53400
267,1e-08,1e-08,1e-08,0.0,77.0,71849.8,10330.0,53600
268,1e-08,1e-08,1e-08,0.0,78.0,78250.8,9852.0,53800
269,1e-08,1e-08,1e-08,0.0,75.0,74713.1,9915.4,54000
270,1e-08,1e-08,1e-08,0.0,64.0,64152.8,8462.3,54200
271,1e-08,1e-08,1e-08,0.0,88.0,82694.1,12202.5,54400
272,1e-08,1e-08,1e-08,0.0,75.0,68860.0,9276.999999999998,54600
273,1e-08,1e-08,1e-08,0.0,87.0,79958.09999999999,11508.399999999998,54800
274,1e-08,1e-08,1e-08,0.0,71.0,66950.6,9548.900000000001,55000
275,1e-08,1e-08,1e-08,0.0,78.0,72976.3,10450.0,55200
276,1e-08,1e-08,1e-08,0.0,78.0,72103.0,10256.1,55400
277,1e-08,1e-08,1e-08,0.0,68.0,63381.700000000004,9196.7,55600
278,1e-08,1e-08,1e-08,0.0,70.0,65510.100000000006,8559.199999999999,55800
279,1e-08,1e-08,1e-08,0.0,74.0,72132.20000000001,9871.7,56000
280,1e-08,1e-08,1e-08,0.0,66.0,56597.8,7781.200000000001,56200
281,1e-08,1e-08,1e-08,0.0,77.0,66823.0,10124.9,56400
282,1e-08,1e-08,1e-08,0.0,81.0,76244.1,10872.0,56600
283,1e-08,1e-08,1e-08,0.0,76.0,76656.7,10336.8,56800
284,1e-08,1e-08,1e-08,0.0,67.0,61664.7,9492.8,57000
285,1e-08,1e-08,1e-08,0.0,69.0,64701.40000000001,9076.5,57200
286,1e-08,1e-08,1e-08,0.0,78.0,70349.6,9710.099999999999,57400
287,1e-08,1e-08,1e-08,0.0,69.0,66927.8,8277.5,57600
288,1e-08,1e-08,1e-08,0.0,76.0,68042.4,9700.3,57800
289,1e-08,1e-08,1e-08,0.0,72.0,65430.200000000004,9436.400000000001,58000
290,1e-08,1e-08,1e-08,0.0,82.0,78060.2,10779.5,58200
291,1e-08,1e-08,1e-08,0.0,80.0,70129.5,9691.1,58400
292,1e-08,1e-08,1e-08,0.0,82.0,80881.20000000001,10678.7,58600
293,1e-08,1e-08,1e-08,0.0,77.0,71120.79999999999,10289.099999999999,58800
294,1e-08,1e-08,1e-08,0.0,72.0,68923.1,9949.0,59000
295,1e-08,1e-08,1e-08,0.0,75.0,69641.9,10267.5,59200
296,1e-08,1e-08,1e-08,0.0,83.0,79240.6,11040.9,59400
297,1e-08,1e-08,1e-08,0.0,79.0,73182.2,10360.900000000001,59600
298,1e-08,1e-08,1e-08,0.0,76.0,72741.70000000001,9930.5,59800
299,1e-08,1e-08,1e-08,0.0,83.0,80868.1,10818.8,60000
300,1e-08,1e-08,1e-08,0.0,74.0,66551.5,9114.2,60200
301,1e-08,1e-08,1e-08,0.0,71.0,65123.2,9226.5,60400
302,1e-08,1e-08,1e-08,0.0,74.0,70757.6,9540.5,60600
303,1e-08,1e-08,1e-08,0.0,69.0,66065.6,9251.5,60800
